Parameter,AR(1) learning,BLE,AR(2) learning,MSV learning,VAR(1) learning
phi,1.345,1.454,1.601,4.122,3.156
sigma_c,0.471,0.451,0.481,1.668,0.971
lambda,0.761,0.794,0.79,0.661,0.781
xi_w,0.71,0.702,0.681,0.672,0.723
sigma_l,2.133,1.944,1.948,1.697,1.726
xi_p,0.506,0.669,0.5,0.669,0.562
iota_w,0.14,0.121,0.137,0.355,0.154
iota_p,0.276,0.48,0.296,0.304,0.476
psi,0.509,0.454,0.487,0.263,0.496
phi_p,1.428,1.344,1.434,1.584,1.57
r_pi,1.442,1.479,1.467,1.43,1.459
rho,0.901,0.902,0.902,0.912,0.905
r_y,0.125,0.12,0.128,0.128,0.128
r_dy,0.133,0.138,0.13,0.125,0.116
pi_bar,0.712,0.743,0.68,0.759,0.791
beta_const,0.213,0.21,0.21,0.21,0.211
l_bar,-1.013,-0.633,-0.9,-0.635,-0.109
gamma_bar,0.398,0.401,0.397,0.419,0.42
alpha,0.134,0.131,0.139,0.183,0.162
rho_a,0.931,0.928,0.916,0.914,0.942
rho_b,0.438,0.322,0.454,0.192,0.129
rho_g,0.985,0.994,0.983,0.975,0.984
rho_i,0.419,0.418,0.429,0.571,0.457
rho_r,0.076,0.075,0.076,0.075,0.076
rho_p,0.045,0.071,0.05,0.541,0.079
rho_w,0.207,0.324,0.222,0.87,0.129
rho_ga,0.538,0.546,0.523,0.549,0.549
eta_a,0.478,0.49,0.471,0.456,0.458
eta_b,2.958,3.483,3.553,2.249,4.841
eta_g,0.493,0.492,0.493,0.503,0.505
eta_i,1.484,1.462,1.461,1.756,1.635
eta_r,0.212,0.21,0.21,0.213,0.209
eta_p,0.504,0.517,0.522,0.21,0.531
eta_w,0.573,0.578,0.58,0.106,0.569
gain,0.01,0.029,0.008,0.008,0.019
likelihood at mode,-1041.79172187669,-1049.34724481509,-1043.87982931256,-1055.02245126467,-1049.39923019332
